date,value,bet,margin,gender,repeated_from
2016-12-22,13350,12000,2000,F,
2016-12-23,11660,10500,1500,U,
2016-12-26,20610,18000,1000,F,
2016-12-27,9200,11000,1500,M,
2016-12-28,18420,21000,500,F,
2016-12-29,10410,10000,1000,U,
2016-12-30,10930,9000,2000,U,
2017-01-02,18080,18500,1000,M,
2017-01-03,15980,18000,2000,F,
2017-01-04,9310,10000,500,M,
2017-01-05,19620,18000,1500,M,
2017-01-06,23960,23000,2000,F,2016-09-08
2017-01-09,17533,15500,500,F,
2017-01-10,25540,21600,2000,M,
2017-01-11,9960,9000,1500,F,
2017-01-12,15310,16000,1000,M,
2017-01-13,14640,14000,1500,M,2016-09-30
2017-01-16,22520,20000,500,M,
2017-01-17,22840,22500,1500,F,
2017-01-18,19530,18500,500,M,
2017-01-19,20680,19000,1000,F,
2017-01-20,18820,19500,1500,F,2016-09-14
2017-01-23,18560,16000,1000,M,
2017-01-24,21150,17000,2000,F,
2017-01-25,21640,22000,500,M,
2017-01-26,17790,19000,1000,F,
2017-01-30,13920,13000,500,F,
2017-01-31,17630,19000,1000,M,
2017-02-01,19220,22500,2000,F,
2017-02-02,19900,18500,500,M,
2017-02-03,19760,19500,1000,M,2016-12-08
2017-02-06,18130,15500,1500,F,
2017-02-08,15870,18000,1500,F,
2017-02-09,13360,11000,2000,F,
2017-02-10,23810,22000,1500,M,2016-10-05
2017-02-13,15790,18000,2000,F,
2017-02-15,22710,17500,1500,M,
2017-02-16,9470,10000,500,F,
2017-02-17,26890,25000,2000,M,
2017-02-20,18580,18500,1500,M,
2017-02-22,9740,12500,1000,M,
2017-02-23,12070,14000,2000,M,
2017-02-24,9830,10500,1000,F,2016-12-13
2017-02-27,21360,21500,1000,M,
2017-02-28,24920,22000,1500,F,
2017-03-01,16140,16000,2000,M,
2017-03-02,17760,14500,2000,M,2016-12-12
2017-03-03,18530,19500,500,F,
2017-03-06,10630,9500,2000,M,
2017-03-09,24540,18000,1500,F,
2017-03-10,16520,18000,1000,F,
2017-03-13,17610,16800,1000,F,
2017-03-15,15990,19500,500,M,
2017-03-16,15510,18000,1000,F,
2017-03-17,25020,22000,1500,F,
2017-03-20,19790,20000,2000,F,
2017-03-21,17390,17500,1500,M,
2017-03-22,14590,15500,500,F,
2017-03-23,18550,17000,1000,M,
2017-03-24,24550,22000,2000,F,
2017-03-27,14810,14500,1000,M,
2017-03-28,19010,22000,500,F,
2017-03-29,14760,15500,2000,M,
2017-03-30,14520,10500,1500,F,
2017-03-31,14690,15500,1000,F,
2017-04-03,19090,17500,500,F,
2017-04-04,18450,24000,1000,F,
2017-04-05,16860,14750,2000,F,
2017-04-06,24040,18000,1500,F,
2017-04-07,18650,18000,1000,M,
2017-04-10,9950,12000,1500,F,
2017-04-11,17860,17800,2000,F,
2017-04-13,16570,14500,500,M,
2017-04-14,15910,18500,1500,F,
2017-04-17,9980,10500,2000,M,
2017-04-19,19920,20500,500,M,
2017-04-20,15300,19700,1500,M,
2017-04-21,15400,15000,500,M,
2017-04-24,15550,16500,1000,M,
2017-04-25,15870,17000,1500,F,
2017-04-26,9460,9000,2000,M,
2017-04-27,24710,21000,1000,F,
2017-04-28,13160,12000,500,M,2016-11-17
2017-05-01,6630,6000,1500,U,
2017-05-03,19410,12500,1500,M,
2017-05-04,15230,14500,500,F,
2017-05-05,25540,21600,2000,M,2017-01-10
2017-05-08,21840,22000,1000,F,
2017-05-11,11810,9000,2000,M,
2017-05-15,9930,11000,500,M,
2017-05-16,20710,24000,2000,F,
2017-05-17,18460,17500,1000,M,
2017-05-18,9960,9000,1500,F,2017-01-11
2017-05-22,18560,19000,500,M,
2017-05-23,13030,10500,2000,M,
2017-05-24,16980,19000,1000,F,
2017-05-25,18340,22500,1500,M,
2017-05-26,19530,18500,500,M,2017-01-18
2017-05-29,17610,16800,1000,F,2017-03-13
2017-05-31,21920,18000,1000,M,
2017-06-05,24570,19500,1000,M,
2017-06-06,9480,10000,2000,M,
2017-06-07,19130,17500,500,M,
2017-06-08,23430,22500,1500,M,
2017-06-13,13510,12000,1500,F,
2017-06-14,21250,22000,1000,M,
2017-06-15,19460,18500,500,F,
2017-06-16,25560,22500,1500,M,
2017-06-19,23510,23000,2000,M,
2017-06-20,12520,13000,1500,M,
2017-06-23,16730,18000,1000,M,
2017-06-26,17890,19000,1000,F,
2017-06-27,14850,19000,2000,M,
2017-06-30,22840,22500,1500,F,2017-01-17
2017-07-03,20530,16000,500,M,
2017-07-04,14990,15000,1000,M,
2017-07-05,9460,9000,2000,M,2017-04-26
2017-07-06,21320,16500,500,M,
2017-07-07,18620,17500,1500,F,
2017-07-10,26140,22500,1500,M,
2017-07-11,14910,15500,1500,F,
2017-07-12,18270,17000,1000,M,
2017-07-13,15400,15000,500,M,2017-04-21
2017-07-14,18670,19000,1500,F,
2017-07-17,10670,12000,2000,F,
2017-07-18,15910,18500,1500,F,2017-04-14
2017-07-19,10920,11000,500,M,
2017-07-20,16730,17000,500,F,
2017-07-21,18830,17500,1500,M,
2017-07-24,24480,19000,1000,M,
2017-07-25,11010,10500,500,F,
2017-07-26,23430,22500,1500,M,2017-06-08
2017-07-28,14050,11500,2000,M,
2017-07-31,18340,22500,1500,M,2017-05-25
2017-08-01,18630,16500,1000,F,
