date,value,bet,margin,gender,repeated_from
2019-10-23,20230,16000,1500,M,
2019-10-24,28510,23000,1000,M,
2019-10-28,14420,18000,1500,F,
2019-10-29,23530,27000,2000,M,
2019-10-30,12340,10500,1500,F,
2019-11-11,24090,22000,1000,M,
2019-11-21,20030,17000,500,F,
2019-11-26,14580,15500,1000,M,
2019-11-28,27370,23500,1000,M,
2019-12-23,10140,9050,2000,U,
2019-12-24,11970,11000,1000,U,
2019-12-25,11290,11000,500,U,
2019-12-26,26020,20000,1500,F,
2019-12-30,11560,11560,1500,U,
2019-12-31,11510,11000,2000,U,
2020-01-01,11880,10000,2500,U,
2020-01-02,15120,13000,1000,M,
2020-01-03,28650,24700,1500,M,
2020-01-06,25140,23000,500,F,
2020-01-07,14280,17000,1500,F,
2020-01-08,15870,27000,1000,M,
2020-01-09,15120,11000,2000,M,
2020-01-10,19180,16500,500,M,
2020-01-13,12160,12000,500,F,
2020-01-15,15650,17000,1500,F,
2020-01-16,18720,21000,1000,F,
2020-01-17,13510,11000,2000,M,
2020-01-20,22390,19000,1000,F,
2020-01-21,17840,18000,500,M,
2020-01-22,11090,8000,2000,F,
2020-01-23,14420,15500,1500,M,
2020-01-24,25583,25500,1500,F,2019-10-18
2020-01-27,20120,18500,1500,F,
2020-01-28,15320,17000,1000,F,
2020-01-29,12070,9500,2000,M,
2020-01-30,17430,16000,1000,M,
2020-01-31,18680,18000,1500,M,
2020-02-03,12140,8800,1000,M,
2020-02-04,22850,21500,1500,M,
2020-02-05,27160,22000,2000,F,
2020-02-06,21270,25000,1000,M,
2020-02-07,18270,18200,500,F,
2020-02-10,18460,17500,500,F,
2020-02-11,14870,15600,2000,M,
2020-02-12,23120,13500,1500,M,
2020-02-13,19150,18000,2000,F,
2020-02-14,22660,22000,500,M,
2020-02-17,16330,14000,500,M,
2020-02-18,21700,26000,2000,M,
2020-02-19,23510,26500,1500,M,
2020-02-20,17260,17000,1500,M,
2020-02-21,12010,12000,2000,F,
2020-02-24,14640,5000,1500,M,
2020-02-25,17320,18000,2000,F,
2020-02-26,25020,19000,1000,F,
2020-02-27,25540,23000,2000,M,
2020-02-28,26630,26500,1000,F,
